127.0.0.1, 2015-07-05 14:25:49, GET, /dashboard/default/index, HTTP/1.1, 200, 0.026834
127.0.0.1, 2015-07-05 14:26:03, GET, /dashboard/default/index, HTTP/1.1, 200, 0.026684
127.0.0.1, 2015-07-05 14:26:10, GET, /dashboard/default/index, HTTP/1.1, 200, 0.058120
127.0.0.1, 2015-07-05 14:26:41, GET, /dashboard/default/index, HTTP/1.1, 200, 0.028273
127.0.0.1, 2015-07-05 14:27:39, GET, /dashboard/default/index, HTTP/1.1, 500, 0.095680
127.0.0.1, 2015-07-05 14:27:41, GET, /admin/default/ticket/dashboard/127.0.0.1.2015-07-05.14-27-39.f87df119-89e8-4284-8d5f-2ae18ccdbb41, HTTP/1.1, 200, 0.112420
127.0.0.1, 2015-07-05 14:28:03, GET, /dashboard/default/index, HTTP/1.1, 200, 0.025388
127.0.0.1, 2015-07-05 14:28:07, GET, /dashboard/default/index, HTTP/1.1, 200, 0.023789
127.0.0.1, 2015-07-05 14:28:13, GET, /dashboard/default/index, HTTP/1.1, 200, 0.023463
127.0.0.1, 2015-07-05 14:28:54, GET, /dashboard/default/index, HTTP/1.1, 200, 0.026122
127.0.0.1, 2015-07-05 14:28:57, GET, /dashboard/default/{{URL('dashboard'%2C'default'%2C'index')}}, HTTP/1.1, 400, 0.000319
127.0.0.1, 2015-07-05 14:29:10, GET, /dashboard/default/index, HTTP/1.1, 200, 0.023235
127.0.0.1, 2015-07-05 14:29:12, GET, /dashboard/default/{{=URL('dashboard'%2C'default'%2C'index')}}, HTTP/1.1, 400, 0.000321
127.0.0.1, 2015-07-05 14:29:13, GET, /dashboard/default/index, HTTP/1.1, 200, 0.024745
127.0.0.1, 2015-07-05 14:29:15, GET, /dashboard/default/index, HTTP/1.1, 200, 0.030419
127.0.0.1, 2015-07-05 14:29:16, GET, /dashboard/default/{{=URL('dashboard'%2C'default'%2C'index')}}, HTTP/1.1, 400, 0.000313
127.0.0.1, 2015-07-05 14:29:47, GET, /dashboard/default/index, HTTP/1.1, 200, 0.031174
127.0.0.1, 2015-07-05 14:30:50, GET, /dashboard/default/index, HTTP/1.1, 200, 0.021856
127.0.0.1, 2015-07-05 14:30:58, GET, /dashboard/default/index, HTTP/1.1, 200, 0.022502
127.0.0.1, 2015-07-05 14:33:21, GET, /dashboard/default/parse_aquisuite, HTTP/1.1, 200, 0.015399
127.0.0.1, 2015-07-05 15:06:49, GET, /, HTTP/1.1, 303, 0.000793
127.0.0.1, 2015-07-05 15:06:50, GET, /welcome/default/index, HTTP/1.1, 200, 0.395034
127.0.0.1, 2015-07-05 15:09:21, GET, /, HTTP/1.1, 400, 0.000413
